Date,Variete,Temp_Air_Moy,Temp_Sol,Humidite_Sol,N,P,K,Prevision_Gelee,Indice_Succes
2025-01-14,Cœur de Bœuf,29.7,20.4,37,115,58,83,0,8
2025-01-14,Cerise,33.0,34.8,33,78,70,150,0,4
2025-01-15,Cerise,29.2,29.9,81,184,136,155,0,3
2025-01-15,Marmande,23.2,18.3,18,147,108,15,1,0
2025-01-15,Cœur de Bœuf,0.9,2.2,56,8,128,164,0,9
2025-01-16,Cœur de Bœuf,-3.5,29.1,42,31,156,148,0,8
2025-01-17,Noire de Crimée,36.4,21.0,71,131,190,144,0,0
2025-01-18,Cœur de Bœuf,22.7,4.0,28,49,199,36,0,8
2025-01-19,Cœur de Bœuf,30.8,3.3,76,81,55,76,1,0
2025-01-19,Marmande,16.7,31.8,83,4,195,146,0,4
2025-01-20,Cœur de Bœuf,0.3,23.4,49,147,34,157,0,2
2025-01-20,Cerise,0.6,29.0,56,86,122,44,0,0
2025-01-20,Marmande,25.9,30.8,74,125,130,145,0,4
2025-01-21,Marmande,14.4,20.0,38,74,103,61,0,4
2025-01-21,Noire de Crimée,4.0,18.1,59,164,6,163,0,9
2025-01-22,Cœur de Bœuf,17.1,15.1,22,21,26,99,0,7
2025-01-22,Noire de Crimée,-2.1,11.1,10,185,0,51,0,3
2025-01-22,Cerise,21.2,15.2,43,67,198,18,0,6
2025-01-23,Marmande,7.1,27.1,57,43,171,108,0,7
2025-01-23,Marmande,30.9,21.1,86,33,86,43,0,5
2025-01-25,Marmande,9.0,31.2,57,76,40,6,1,0
2025-01-25,Cerise,15.5,15.5,58,41,122,171,0,3
2025-01-25,Cerise,-4.5,21.2,73,136,74,116,0,3
2025-01-26,Noire de Crimée,-1.7,22.1,70,105,41,67,0,6
2025-01-26,Noire de Crimée,12.7,20.7,38,94,116,33,0,6
2025-01-26,Noire de Crimée,16.6,24.6,48,134,160,193,0,4
2025-01-27,Cœur de Bœuf,22.0,8.3,35,67,177,68,0,0
2025-01-28,Marmande,8.1,17.9,26,146,62,54,0,1
2025-01-28,Marmande,26.3,3.6,80,158,164,9,0,6
2025-01-28,Noire de Crimée,33.7,13.5,22,127,186,41,0,0
2025-01-28,Marmande,30.1,17.1,78,162,126,40,0,8
2025-01-28,Noire de Crimée,-3.2,22.8,35,184,175,196,1,0
2025-01-29,Cœur de Bœuf,16.6,33.3,58,84,132,121,0,8
2025-01-29,Cœur de Bœuf,-0.3,21.0,76,188,47,137,0,5
2025-01-30,Cerise,5.9,26.0,16,158,2,9,0,6
2025-01-31,Cœur de Bœuf,39.4,17.7,67,82,115,101,0,6
2025-02-02,Noire de Crimée,1.4,22.2,58,94,174,187,0,4
2025-02-02,Cœur de Bœuf,17.4,2.5,62,180,189,127,0,0
2025-02-02,Cerise,22.8,8.9,74,31,98,178,0,7
2025-02-03,Marmande,26.6,12.7,71,65,115,148,0,9
2025-02-03,Noire de Crimée,20.2,16.5,26,186,13,135,0,1
2025-02-03,Marmande,-4.6,1.6,52,115,190,192,0,0
2025-02-03,Cerise,9.7,4.9,34,137,111,91,0,4
2025-02-04,Cerise,18.3,9.7,12,129,60,112,0,3
2025-02-04,Cerise,-1.0,34.0,88,193,158,77,0,5
2025-02-04,Marmande,10.8,11.6,38,59,94,84,0,8
2025-02-04,Marmande,-3.5,16.9,41,16,16,29,0,0
2025-02-04,Marmande,-1.5,6.9,35,95,123,48,0,9
2025-02-05,Marmande,12.9,21.4,25,143,23,8,1,0
2025-02-05,Cerise,1.0,9.8,34,15,115,144,0,3
2025-02-05,Cerise,20.5,7.2,63,45,150,68,0,6
2025-02-05,Noire de Crimée,26.0,18.1,37,166,81,57,0,6
2025-02-06,Noire de Crimée,31.0,0.2,82,158,49,184,0,7
2025-02-06,Marmande,4.0,0.3,65,106,78,61,1,0
2025-02-06,Cœur de Bœuf,2.5,7.7,74,87,78,51,0,5
2025-02-07,Cœur de Bœuf,-0.3,1.3,89,128,69,188,1,0
2025-02-07,Cerise,23.6,3.8,50,138,26,39,0,5
2025-02-08,Cerise,26.8,11.9,60,118,14,165,0,5
2025-02-08,Cerise,-3.6,28.1,80,84,49,170,0,3
2025-02-08,Noire de Crimée,37.1,20.0,87,3,35,62,0,0
2025-02-08,Noire de Crimée,-2.7,17.9,38,70,7,146,0,1
2025-02-08,Cerise,19.4,10.3,28,153,78,49,0,4
2025-02-08,Cerise,26.9,32.6,75,110,130,160,1,0
2025-02-08,Cerise,34.2,13.9,50,49,189,140,0,2
2025-02-09,Cœur de Bœuf,27.1,3.0,54,139,46,77,0,2
2025-02-10,Noire de Crimée,31.1,21.6,24,94,104,96,0,10
2025-02-10,Cœur de Bœuf,10.3,4.0,12,91,97,189,0,7
2025-02-10,Cœur de Bœuf,31.7,12.1,20,64,95,42,0,4
2025-02-11,Cerise,-1.4,17.8,62,46,188,176,0,7
2025-02-11,Cerise,35.3,30.6,55,180,159,35,1,0
2025-02-11,Marmande,19.6,17.3,39,105,115,121,0,3
2025-02-12,Marmande,31.8,24.6,66,198,12,107,0,5
2025-02-12,Cœur de Bœuf,15.4,34.7,27,129,0,9,0,6
2025-02-13,Noire de Crimée,24.0,4.6,60,105,33,94,0,3
2025-02-13,Cerise,18.7,9.6,57,23,189,5,1,0
2025-02-13,Cerise,27.9,13.8,75,3,78,56,0,2
2025-02-13,Cœur de Bœuf,-1.3,14.8,17,107,77,128,0,8
2025-02-14,Marmande,-2.3,14.4,31,18,120,70,0,6
2025-02-15,Noire de Crimée,6.1,31.8,15,153,92,185,0,0
2025-02-15,Marmande,2.2,25.0,85,39,97,20,0,2
2025-02-15,Marmande,34.2,21.3,66,49,81,91,0,2
2025-02-16,Marmande,4.9,10.8,45,170,198,126,0,3
2025-02-16,Marmande,38.9,28.8,88,74,158,79,0,7
2025-02-16,Cerise,10.2,33.4,66,194,191,55,0,5
2025-02-16,Cerise,3.2,28.7,58,11,152,115,0,0
2025-02-16,Marmande,30.5,0.1,54,194,37,147,0,3
2025-02-17,Noire de Crimée,24.6,22.3,75,26,13,181,0,6
2025-02-17,Cœur de Bœuf,17.4,1.8,86,112,135,24,0,4
2025-02-17,Noire de Crimée,20.0,9.0,54,181,90,155,0,3
2025-02-18,Noire de Crimée,27.4,2.1,88,193,53,4,0,5
2025-02-18,Noire de Crimée,5.3,21.1,29,48,129,119,0,9
2025-02-19,Marmande,39.8,24.0,73,143,100,20,0,6
2025-02-20,Cerise,38.9,4.0,76,129,88,17,1,0
2025-02-20,Noire de Crimée,24.3,13.4,12,59,55,174,0,8
2025-02-20,Marmande,4.0,16.0,63,181,93,197,0,3
2025-02-20,Noire de Crimée,25.6,12.9,87,29,92,56,0,4
2025-02-20,Noire de Crimée,-1.8,4.2,73,83,83,92,0,4
2025-02-20,Marmande,-3.6,14.7,49,165,84,18,0,5
2025-02-21,Cerise,6.6,26.3,68,27,188,127,0,6
2025-02-21,Cerise,15.8,2.5,64,24,21,96,1,0
2025-02-21,Cœur de Bœuf,34.1,2.8,71,95,34,192,0,2
2025-02-22,Marmande,27.7,12.4,13,124,15,130,0,6
2025-02-22,Cœur de Bœuf,28.4,33.0,69,9,49,169,0,0
2025-02-22,Cœur de Bœuf,14.1,23.4,84,187,121,20,0,0
2025-02-22,Cœur de Bœuf,10.6,23.8,39,41,127,39,0,11
2025-02-22,Cerise,11.7,12.7,11,39,112,66,0,3
2025-02-22,Marmande,39.4,20.8,71,76,170,152,0,7
2025-02-22,Cœur de Bœuf,-3.2,0.4,58,104,16,126,0,10
2025-02-23,Marmande,34.0,22.3,18,117,79,54,0,0
2025-02-23,Marmande,21.0,32.0,40,41,185,179,0,8
2025-02-23,Cerise,14.7,21.4,70,46,129,171,0,6
2025-02-23,Cœur de Bœuf,27.6,30.6,88,164,131,108,0,9
2025-02-23,Cœur de Bœuf,16.9,25.3,57,21,84,97,0,1
2025-02-23,Marmande,34.3,4.2,34,184,166,183,0,9
2025-02-23,Noire de Crimée,35.5,31.6,45,106,93,182,0,2
2025-02-24,Cerise,14.0,2.3,17,26,133,111,0,8
2025-02-25,Cerise,7.5,18.7,82,40,80,197,0,4
2025-02-25,Cerise,21.7,5.0,67,79,68,114,0,7
2025-02-26,Cerise,36.1,0.4,54,161,68,116,0,5
2025-02-27,Cœur de Bœuf,4.5,14.8,71,159,147,86,0,0
2025-02-27,Cœur de Bœuf,23.0,10.3,48,88,191,200,0,0
2025-02-27,Noire de Crimée,23.4,17.0,67,65,15,80,0,5
2025-02-27,Cerise,28.0,20.2,90,11,50,65,0,4
2025-02-27,Cerise,0.9,1.5,73,167,104,18,0,6
2025-02-27,Marmande,27.2,4.3,53,72,164,134,0,4
2025-02-28,Cœur de Bœuf,35.9,19.6,38,75,200,117,0,11
2025-03-01,Cerise,3.1,12.0,68,89,196,190,0,87
2025-03-01,Noire de Crimée,5.7,25.5,80,200,169,41,0,70
2025-03-02,Noire de Crimée,38.7,22.8,18,9,184,41,0,78
2025-03-02,Cœur de Bœuf,3.1,29.6,15,95,65,58,0,65
2025-03-03,Noire de Crimée,33.4,24.2,38,175,8,19,0,75
2025-03-03,Noire de Crimée,17.2,15.0,67,19,106,72,0,62
2025-03-03,Cœur de Bœuf,6.1,23.6,26,38,99,16,0,69
2025-03-03,Cerise,34.2,9.6,25,59,85,26,0,12
2025-03-04,Cerise,15.0,10.7,12,65,63,174,0,9
2025-03-04,Noire de Crimée,18.2,27.6,30,64,21,1,0,94
2025-03-04,Noire de Crimée,11.2,15.6,73,178,161,62,1,0
2025-03-04,Cerise,21.7,27.9,45,123,182,61,0,74
2025-03-06,Cœur de Bœuf,2.4,28.8,71,163,156,99,1,0
2025-03-06,Noire de Crimée,12.6,30.0,51,151,165,18,0,75
2025-03-06,Marmande,38.6,32.1,85,154,109,16,0,66
2025-03-07,Cœur de Bœuf,6.6,15.1,51,129,96,68,0,72
2025-03-07,Noire de Crimée,24.6,11.2,70,158,17,166,0,8
2025-03-08,Noire de Crimée,9.6,20.4,22,56,70,116,0,83
2025-03-09,Marmande,29.8,13.0,20,77,192,198,0,95
2025-03-09,Marmande,0.9,21.0,63,193,126,80,0,66
2025-03-10,Cerise,38.6,24.7,25,28,96,38,0,97
2025-03-10,Cœur de Bœuf,15.4,24.1,17,14,0,35,0,66
2025-03-10,Cœur de Bœuf,5.6,13.1,68,11,131,167,0,85
2025-03-10,Cerise,-1.7,5.8,66,100,3,172,0,25
2025-03-11,Cœur de Bœuf,2.6,15.1,49,155,124,131,0,67
2025-03-11,Cœur de Bœuf,18.4,5.0,68,83,81,152,0,7
2025-03-13,Cœur de Bœuf,10.2,31.2,11,124,26,196,0,79
2025-03-13,Cœur de Bœuf,32.3,12.1,85,102,170,157,0,72
2025-03-14,Cœur de Bœuf,14.4,5.4,19,23,58,195,0,17
2025-03-15,Marmande,6.2,0.9,53,148,31,28,0,13
2025-03-16,Cœur de Bœuf,22.8,22.6,20,137,160,200,0,61
2025-03-16,Marmande,26.8,22.3,88,109,27,195,1,0
2025-03-16,Cœur de Bœuf,2.5,11.9,89,77,105,50,0,20
2025-03-16,Cerise,2.5,2.5,90,100,104,151,0,16
2025-03-17,Noire de Crimée,-3.3,14.3,11,145,182,13,0,60
2025-03-17,Marmande,28.1,10.9,59,141,187,68,0,18
2025-03-17,Cœur de Bœuf,24.9,23.7,21,161,69,145,0,74
2025-03-19,Cerise,16.4,21.2,32,127,61,169,0,81
2025-03-19,Noire de Crimée,33.0,12.8,27,57,33,56,0,91
2025-03-19,Marmande,31.3,7.6,71,75,86,11,0,11
2025-03-21,Noire de Crimée,21.3,34.6,71,149,113,16,0,73
2025-03-22,Cerise,34.1,15.9,47,197,105,29,0,92
2025-03-22,Marmande,4.3,24.1,76,35,55,87,1,0
2025-03-22,Noire de Crimée,0.0,4.9,47,172,112,98,0,15
2025-03-22,Cœur de Bœuf,7.1,17.0,76,163,12,22,0,56
2025-03-23,Marmande,-2.4,1.0,70,21,183,128,0,15
2025-03-24,Noire de Crimée,18.9,17.7,10,126,17,78,0,70
2025-03-24,Cerise,37.1,33.7,54,79,181,31,0,93
2025-03-25,Cerise,-3.2,13.4,37,188,112,8,0,86
2025-03-26,Marmande,0.5,1.4,30,99,170,14,0,15
2025-03-27,Noire de Crimée,15.3,1.1,22,183,38,155,0,9
2025-03-27,Marmande,37.0,13.6,36,95,188,151,0,72
2025-03-27,Marmande,9.2,5.6,16,160,169,187,0,19
2025-03-29,Noire de Crimée,17.8,0.8,31,172,78,162,0,11
2025-03-30,Noire de Crimée,-3.1,26.5,83,163,145,26,0,74
2025-03-30,Cœur de Bœuf,1.7,16.0,62,147,150,108,0,60
2025-03-31,Noire de Crimée,39.4,10.1,88,17,181,75,0,9
2025-03-31,Cerise,38.4,31.5,88,37,29,147,0,84
2025-03-31,Marmande,-4.8,4.1,13,194,97,64,0,15
2025-03-31,Marmande,37.8,33.5,32,150,57,176,0,94
2025-04-01,Cerise,23.8,11.0,79,108,195,108,0,12
2025-04-02,Noire de Crimée,34.1,31.1,85,122,66,128,0,74
2025-04-02,Cerise,15.5,21.1,42,143,70,9,0,72
2025-04-02,Cerise,18.2,28.9,37,186,145,46,0,91
2025-04-02,Cœur de Bœuf,17.0,34.4,17,196,105,122,1,0
2025-04-03,Cerise,25.0,10.1,10,195,6,58,0,16
2025-04-03,Marmande,1.3,33.6,46,148,39,95,0,89
2025-04-04,Cerise,-3.7,13.6,72,103,69,189,0,96
2025-04-04,Marmande,8.9,13.5,31,197,192,102,0,78
2025-04-05,Marmande,26.7,11.9,79,139,67,123,0,12
2025-04-05,Marmande,4.1,18.9,30,143,48,85,1,0
2025-04-05,Noire de Crimée,25.3,5.4,44,80,51,145,1,0
2025-04-05,Cœur de Bœuf,38.6,19.4,88,86,113,111,0,72
2025-04-05,Marmande,-0.8,19.0,14,141,106,173,1,0
2025-04-06,Marmande,25.3,26.7,69,60,28,159,0,73
2025-04-06,Noire de Crimée,15.0,29.2,55,198,148,26,0,84
2025-04-06,Marmande,34.1,15.4,59,45,77,17,0,83
2025-04-06,Cerise,3.0,10.6,57,31,8,166,0,13
2025-04-06,Cerise,26.2,9.1,15,14,174,176,1,0
2025-04-07,Cœur de Bœuf,32.7,6.8,65,43,75,81,0,7
2025-04-07,Marmande,37.5,2.0,68,144,41,171,0,21
2025-04-08,Noire de Crimée,25.7,12.0,38,168,178,71,0,80
2025-04-08,Cerise,17.4,9.5,80,53,183,53,0,13
2025-04-08,Noire de Crimée,22.8,33.8,86,43,178,161,0,80
2025-04-09,Noire de Crimée,34.1,19.5,27,97,197,70,1,0
2025-04-09,Cerise,20.7,12.2,11,4,127,163,0,85
2025-04-09,Noire de Crimée,-3.6,20.3,17,108,19,145,0,88
2025-04-09,Cerise,36.9,4.9,84,26,154,37,0,5
2025-04-09,Noire de Crimée,26.0,15.5,63,115,165,186,0,71
2025-04-09,Cerise,25.4,21.9,47,86,71,136,0,100
2025-04-09,Marmande,4.7,17.1,57,103,64,200,0,80
2025-04-09,Cœur de Bœuf,24.6,14.1,36,122,181,199,0,87
2025-04-09,Cerise,12.7,34.8,29,78,112,178,0,72
2025-04-10,Cerise,24.3,30.8,21,42,23,34,0,95
2025-04-10,Cœur de Bœuf,-0.2,21.8,52,96,127,81,0,80
2025-04-10,Cerise,24.6,19.9,70,30,174,132,0,68
2025-04-10,Cerise,40.0,21.7,40,98,198,141,0,82
2025-04-11,Noire de Crimée,-2.8,7.0,70,16,82,157,0,14
2025-04-11,Cœur de Bœuf,39.0,13.8,83,82,62,3,1,0
2025-04-11,Marmande,13.3,1.4,76,109,184,166,0,6
2025-04-11,Cerise,34.2,16.6,44,181,182,191,0,82
2025-04-11,Cœur de Bœuf,30.2,19.0,24,189,59,152,0,78
2025-04-13,Noire de Crimée,20.5,8.0,25,31,98,155,0,13
2025-04-13,Marmande,28.2,33.7,22,167,61,193,0,77
2025-04-13,Cœur de Bœuf,34.5,31.8,44,140,29,149,0,72
2025-04-13,Marmande,13.2,25.3,84,34,21,158,0,74
2025-04-14,Marmande,9.7,18.7,68,132,125,22,0,67
2025-04-14,Marmande,25.0,30.4,30,200,156,47,0,81
2025-04-15,Cerise,31.4,4.6,63,28,168,147,0,7
2025-04-15,Cerise,29.3,27.7,84,69,41,124,0,85
2025-04-16,Noire de Crimée,30.9,4.4,39,152,97,165,1,0
2025-04-16,Noire de Crimée,14.6,27.8,57,94,192,54,0,88
2025-04-16,Cœur de Bœuf,31.8,9.7,44,21,30,67,0,12
2025-04-17,Noire de Crimée,0.4,30.7,47,193,157,87,0,67
2025-04-17,Marmande,19.5,33.0,40,172,111,0,0,82
2025-04-18,Marmande,-4.7,5.2,87,68,145,134,0,15
2025-04-18,Cerise,9.6,16.2,33,88,121,184,0,92
2025-04-19,Marmande,11.5,34.3,58,71,16,94,0,75
2025-04-19,Cœur de Bœuf,12.8,16.9,41,128,37,139,0,46
2025-04-21,Marmande,26.3,30.2,64,171,141,105,0,86
2025-04-21,Marmande,12.5,20.6,88,86,109,132,0,95
2025-04-21,Cœur de Bœuf,15.2,13.1,67,95,183,107,0,82
2025-04-21,Noire de Crimée,5.7,10.0,12,74,21,177,0,0
2025-04-21,Noire de Crimée,11.8,7.1,89,166,194,41,0,17
2025-04-22,Cœur de Bœuf,5.2,26.7,78,53,55,101,0,65
2025-04-22,Cerise,-1.7,13.5,19,87,118,123,0,74
2025-04-22,Marmande,22.2,17.9,34,156,146,139,0,76
2025-04-22,Cœur de Bœuf,25.1,17.2,77,53,56,102,0,68
2025-04-23,Marmande,22.9,20.2,70,15,171,145,1,0
2025-04-23,Cerise,15.9,30.3,38,98,34,193,0,90
2025-04-23,Marmande,12.1,34.3,28,19,113,73,0,75
2025-04-23,Cœur de Bœuf,33.9,14.3,52,45,124,107,0,58
2025-04-23,Marmande,18.4,29.0,75,194,128,121,0,69
2025-04-23,Noire de Crimée,16.6,26.8,83,192,51,16,0,67
2025-04-23,Cerise,-3.8,20.1,70,126,84,195,0,67
2025-04-24,Cerise,10.4,33.5,52,57,197,70,0,71
2025-04-24,Cerise,12.1,7.0,34,180,164,61,0,13
2025-04-25,Cœur de Bœuf,12.9,3.8,29,110,64,40,0,22
2025-04-26,Cerise,21.1,29.9,57,128,178,118,0,79
2025-04-26,Noire de Crimée,19.0,15.4,33,80,128,161,0,67
2025-04-26,Cœur de Bœuf,22.4,29.6,20,193,20,197,0,58
2025-04-27,Noire de Crimée,29.4,31.3,64,156,180,44,0,75
2025-04-27,Marmande,31.6,2.2,37,83,15,57,0,20
2025-04-28,Marmande,27.3,30.9,78,69,122,178,0,95
2025-04-28,Marmande,38.0,15.7,72,7,60,125,1,0
2025-04-28,Marmande,-4.2,17.9,68,28,53,161,0,77
2025-04-28,Noire de Crimée,3.8,21.9,14,111,167,43,0,76
2025-04-29,Cœur de Bœuf,-4.7,32.4,60,178,25,14,0,64
2025-04-29,Cœur de Bœuf,24.1,0.7,30,160,79,77,0,13
2025-04-30,Cerise,35.4,16.7,21,130,64,69,0,91
2025-04-30,Noire de Crimée,6.0,24.1,59,187,99,177,0,71
2025-05-01,Marmande,36.7,25.3,13,162,73,100,0,73
2025-05-01,Noire de Crimée,-2.3,24.2,51,196,191,159,0,74
2025-05-02,Cerise,37.0,4.7,47,107,170,194,0,12
2025-05-02,Cerise,10.8,10.5,34,108,16,2,1,0
2025-05-02,Noire de Crimée,-0.4,12.6,23,19,120,85,0,74
2025-05-02,Noire de Crimée,16.9,28.2,84,72,186,73,0,54
2025-05-02,Noire de Crimée,6.6,9.8,41,166,22,50,0,17
2025-05-02,Cœur de Bœuf,7.8,7.4,20,3,134,66,0,26
2025-05-03,Marmande,8.8,33.5,70,18,171,75,0,69
2025-05-04,Noire de Crimée,31.1,0.3,27,101,180,92,0,16
2025-05-04,Noire de Crimée,19.3,34.9,36,172,70,175,0,83
2025-05-05,Noire de Crimée,9.0,23.7,64,170,107,144,0,87
2025-05-06,Cerise,22.5,29.0,63,140,78,6,1,0
2025-05-06,Cerise,27.2,10.3,84,140,161,12,0,13
2025-05-06,Cœur de Bœuf,7.3,0.5,30,187,45,119,0,5
2025-05-06,Marmande,13.6,25.8,53,184,195,65,1,0
2025-05-06,Cœur de Bœuf,0.5,29.2,14,85,77,3,0,72
2025-05-06,Marmande,3.2,25.9,50,51,15,137,0,76
2025-05-07,Cerise,25.7,5.0,68,110,70,87,0,13
2025-05-07,Cerise,3.2,26.4,63,180,95,16,0,83
2025-05-07,Cerise,18.6,26.9,83,108,146,51,0,86
2025-05-08,Cœur de Bœuf,26.9,23.0,31,85,1,133,0,73
2025-05-08,Noire de Crimée,-0.2,26.8,74,42,9,68,0,78
2025-05-08,Noire de Crimée,20.5,29.6,73,199,177,136,0,72
2025-05-08,Cerise,6.5,21.5,80,199,124,20,0,88
2025-05-09,Noire de Crimée,38.3,3.1,13,41,80,23,0,13
2025-05-09,Noire de Crimée,16.8,17.1,74,89,139,3,0,81
2025-05-09,Cœur de Bœuf,31.3,2.7,24,114,69,151,0,11
2025-05-10,Marmande,19.8,14.3,85,25,149,186,0,75
2025-05-10,Cerise,-3.0,14.2,31,150,31,2,0,68
2025-05-11,Cerise,23.5,2.3,56,42,104,67,0,13
2025-05-11,Cœur de Bœuf,37.8,12.2,90,76,83,100,0,75
2025-05-11,Cœur de Bœuf,22.1,3.9,55,155,128,167,0,9
2025-05-11,Noire de Crimée,31.9,28.3,23,136,181,175,0,71
2025-05-12,Cerise,34.8,33.2,59,19,57,53,0,60
2025-05-13,Marmande,5.3,2.5,29,183,197,34,0,8
2025-05-13,Cœur de Bœuf,4.5,33.4,59,38,145,55,0,58
2025-05-13,Marmande,22.5,18.3,42,178,133,107,1,0
2025-05-13,Marmande,13.5,10.5,68,11,44,39,0,15
2025-05-13,Cerise,32.8,2.7,52,182,96,67,0,16
2025-05-14,Cerise,35.5,17.5,88,10,22,45,0,84
2025-05-14,Cœur de Bœuf,10.9,27.8,21,153,22,77,1,0
2025-05-14,Cerise,5.7,24.7,49,41,153,140,0,81
2025-05-15,Cerise,30.1,1.8,29,154,134,154,0,13
2025-05-15,Cerise,7.4,2.6,47,10,78,5,0,18
2025-05-15,Marmande,32.0,14.1,12,37,43,16,0,77
2025-05-16,Cœur de Bœuf,14.1,10.3,37,97,26,163,0,13
2025-05-16,Noire de Crimée,25.0,8.1,65,170,25,98,0,21
2025-05-16,Marmande,-0.7,9.8,22,18,96,80,0,24
2025-05-17,Cerise,23.1,28.1,86,191,35,1,0,72
2025-05-17,Marmande,15.3,32.5,75,133,108,76,1,0
2025-05-18,Cerise,21.4,14.2,46,173,54,179,0,90
2025-05-19,Cerise,2.6,31.7,58,115,191,65,0,100
2025-05-19,Marmande,28.2,11.3,75,112,184,51,0,16
2025-05-20,Cœur de Bœuf,33.8,16.7,45,169,68,91,0,71
2025-05-20,Cerise,4.8,7.9,63,64,60,170,0,14
2025-05-21,Cœur de Bœuf,-0.7,22.4,35,98,129,21,0,74
2025-05-21,Noire de Crimée,-3.9,34.3,84,71,54,110,0,82
2025-05-22,Cerise,23.9,21.1,81,186,121,106,0,72
2025-05-22,Cœur de Bœuf,22.3,12.5,49,51,96,182,0,69
2025-05-23,Cœur de Bœuf,19.6,22.7,52,117,79,66,0,47
2025-05-23,Noire de Crimée,5.4,4.3,31,174,86,187,0,13
2025-05-23,Cœur de Bœuf,12.6,31.1,29,119,37,185,0,60
2025-05-24,Cœur de Bœuf,21.8,17.6,17,6,118,139,0,73
2025-05-24,Noire de Crimée,17.4,15.7,38,10,77,68,0,58
2025-05-24,Cerise,39.5,20.5,49,102,156,83,0,79
2025-05-24,Cœur de Bœuf,1.1,21.9,39,60,153,102,0,79
2025-05-24,Cœur de Bœuf,26.3,2.5,90,67,34,38,0,11
2025-05-24,Cœur de Bœuf,13.2,23.9,64,152,78,12,0,50
2025-05-24,Marmande,14.3,8.5,25,139,66,40,0,16
2025-05-25,Noire de Crimée,27.3,25.0,55,153,86,56,0,69
2025-05-25,Marmande,26.2,28.8,71,101,156,180,0,73
2025-05-25,Noire de Crimée,39.6,28.1,16,109,33,11,0,67
2025-05-25,Cerise,0.8,19.3,89,139,96,12,1,0
2025-05-25,Cerise,-0.3,18.2,54,170,168,119,0,100
2025-05-26,Cœur de Bœuf,27.6,5.0,68,50,168,96,0,7
2025-05-26,Noire de Crimée,21.0,27.1,65,116,150,56,1,0
2025-05-26,Cerise,7.3,9.5,57,164,70,39,0,29
2025-05-27,Noire de Crimée,-1.4,17.4,36,45,2,117,0,71
2025-05-27,Cerise,-1.1,9.9,62,52,57,79,0,15
2025-05-27,Marmande,35.2,4.7,82,87,31,127,0,12
2025-05-27,Cerise,3.6,22.0,44,120,30,172,1,0
2025-05-27,Marmande,9.6,1.9,60,12,81,34,0,11
2025-05-27,Cerise,5.2,26.2,46,88,42,2,0,77
