Variete,Temp_Air_Moy,Temp_Sol,Humidite_Sol,N,P,K,Prevision_Gelee,Indice_Succes
Cœur de Bœuf,19.1,26.9,47,123,73,142,1,51
Cœur de Bœuf,21.7,19.6,53,125,76,158,1,54
Noire de Crimée,19.0,22.8,84,95,76,148,0,86
Cœur de Bœuf,25.7,24.2,77,126,79,164,1,90
Marmande,27.7,20.3,71,111,88,154,0,55
Noire de Crimée,27.7,25.9,84,98,85,138,0,91
Marmande,26.7,25.7,71,132,97,164,1,68
Noire de Crimée,24.0,27.1,42,118,76,144,0,65
Cœur de Bœuf,25.0,19.1,59,139,71,151,0,61
Marmande,20.9,21.0,52,106,87,142,0,73
Noire de Crimée,24.3,26.4,62,102,68,159,0,58
Cerise,22.6,25.0,58,106,91,150,0,52
Cœur de Bœuf,22.8,27.0,55,99,93,154,0,66
Noire de Crimée,25.6,19.5,75,114,75,154,0,79
Cerise,20.8,24.4,74,107,90,169,0,76
Noire de Crimée,21.2,24.1,86,138,86,151,0,73
Cerise,27.2,19.3,86,133,88,132,0,91
Cœur de Bœuf,18.6,23.6,89,104,60,138,0,99
Marmande,22.9,24.5,46,116,86,153,0,88
Cerise,27.1,20.7,76,108,91,161,0,56
Noire de Crimée,24.1,21.5,47,104,70,146,0,58
Cœur de Bœuf,23.5,24.8,64,134,94,153,1,65
Cerise,20.5,23.2,62,96,61,137,0,60
Noire de Crimée,21.4,26.7,49,132,60,135,1,58
Noire de Crimée,26.5,22.1,69,129,65,138,1,50
Noire de Crimée,23.6,21.4,72,105,66,144,1,93
Cerise,23.1,27.9,50,113,61,153,1,84
Cerise,19.0,27.2,74,112,61,140,1,69
Cerise,18.2,19.3,66,100,64,160,0,57
Marmande,27.6,25.9,42,113,72,142,1,56
Cerise,21.8,20.0,86,94,78,159,0,86
Cerise,24.0,19.2,88,128,78,154,0,86
Cerise,18.8,21.5,89,137,60,141,0,69
Marmande,24.8,21.4,47,119,94,150,0,54
Cerise,27.3,26.4,52,105,77,153,0,61
Noire de Crimée,23.8,25.4,81,109,91,155,1,70
Cerise,19.3,27.8,42,118,91,141,0,69
Noire de Crimée,23.8,25.4,59,106,67,166,0,54
Noire de Crimée,25.7,22.8,85,108,70,150,0,72
Noire de Crimée,22.1,25.3,84,115,79,152,0,56
Marmande,26.8,28.0,74,104,67,130,0,50
Marmande,24.5,25.4,52,114,87,139,0,74
Marmande,27.0,25.9,59,104,80,164,0,68
Cerise,24.2,27.4,63,109,97,167,0,51
Noire de Crimée,19.3,20.0,48,119,97,157,0,61
Marmande,21.1,25.3,69,110,65,130,1,91
Marmande,20.0,26.7,64,136,61,137,0,74
Cerise,27.1,27.6,55,124,69,152,0,81
Marmande,25.6,20.9,47,133,68,149,0,97
Cerise,24.8,23.5,83,95,62,161,0,92
Cœur de Bœuf,21.0,25.1,67,126,61,152,0,67
Marmande,19.8,21.2,51,100,95,136,0,80
Cœur de Bœuf,25.6,24.4,63,112,67,140,0,93
Cerise,22.7,21.3,88,133,68,137,0,58
Noire de Crimée,20.3,22.0,68,128,85,143,0,70
Marmande,24.2,23.0,54,98,93,143,0,88
Cerise,18.4,23.8,57,107,89,165,1,56
Noire de Crimée,21.3,23.0,46,135,97,169,0,62
Noire de Crimée,22.7,23.4,52,125,67,156,1,69
Cœur de Bœuf,19.5,21.7,58,129,62,149,0,62
Cerise,27.8,20.4,87,137,70,167,0,77
Noire de Crimée,20.1,19.4,82,125,84,154,0,86
Marmande,19.3,20.8,44,117,64,158,0,74
Marmande,20.0,24.2,65,108,71,143,0,95
Cœur de Bœuf,25.7,26.1,41,119,89,157,1,97
Noire de Crimée,22.3,20.5,72,127,86,159,1,94
Cerise,23.7,20.0,87,104,64,144,1,75
Marmande,18.2,25.7,76,133,79,150,0,93
Noire de Crimée,18.3,21.7,64,101,80,141,0,82
Noire de Crimée,22.5,27.6,64,91,62,140,0,89
Cœur de Bœuf,26.2,25.4,78,98,63,168,0,89
Marmande,26.9,21.9,69,124,83,135,0,76
Marmande,18.9,21.6,80,90,66,132,1,64
Cerise,23.4,23.7,43,135,83,144,0,52
Marmande,27.1,19.7,58,120,70,163,0,78
Cerise,21.9,20.1,66,117,61,133,0,80
Marmande,26.3,20.6,86,134,65,163,0,89
Cœur de Bœuf,19.3,26.0,78,126,66,167,0,67
Marmande,27.4,23.6,63,96,97,168,0,73
Cerise,25.5,19.1,89,135,77,135,0,88
Cerise,27.4,25.1,76,105,68,151,1,93
Cœur de Bœuf,24.8,22.8,64,139,87,166,0,96
Marmande,21.6,23.6,68,103,78,161,0,57
Marmande,27.4,20.9,70,122,63,157,0,78
Cœur de Bœuf,20.8,24.0,84,95,63,155,1,97
Marmande,21.3,27.8,74,110,72,133,1,86
Marmande,25.0,19.7,67,99,87,139,0,86
Cerise,25.7,21.6,77,121,70,156,1,58
Marmande,27.3,21.2,83,95,61,149,0,94
Marmande,20.0,21.2,89,91,65,165,1,79
Cœur de Bœuf,26.0,22.4,89,128,71,134,1,64
Cœur de Bœuf,25.4,26.4,43,138,99,146,1,89
Noire de Crimée,18.6,27.2,67,116,96,161,0,61
Cerise,21.9,20.8,70,103,83,164,0,90
Marmande,20.8,23.9,62,112,68,152,0,76
Marmande,21.0,24.7,53,128,85,142,0,96
Noire de Crimée,27.8,23.7,67,110,63,130,0,96
Marmande,24.4,22.9,53,130,63,160,0,80
Cerise,25.2,20.7,40,119,93,148,0,62
Noire de Crimée,27.8,23.4,82,114,81,152,1,64
Cerise,21.8,22.6,71,113,72,163,1,54
Noire de Crimée,26.0,26.2,80,100,74,133,1,91
Noire de Crimée,22.3,25.9,57,124,99,163,0,74
Cœur de Bœuf,26.7,20.2,44,93,97,159,0,61
Cerise,19.8,19.8,81,126,61,139,0,98
Marmande,27.5,27.2,54,125,61,135,0,58
Marmande,20.2,23.8,81,102,67,141,1,75
Cerise,21.3,26.7,55,98,97,141,0,86
Marmande,25.6,19.5,75,117,77,147,0,58
Marmande,21.9,23.7,75,135,88,165,1,54
Cerise,24.1,23.9,79,105,70,164,0,95
Noire de Crimée,22.4,26.7,69,95,65,154,0,56
Cerise,25.4,19.9,77,116,68,151,0,90
Noire de Crimée,20.3,21.2,62,99,81,159,0,80
Marmande,18.6,22.7,50,112,84,158,1,93
Marmande,21.0,26.8,64,110,90,136,1,86
Marmande,22.7,27.4,84,115,80,169,0,56
Cœur de Bœuf,19.7,27.9,82,134,97,132,0,54
Noire de Crimée,21.5,27.6,41,92,78,150,0,66
Cœur de Bœuf,22.0,19.1,74,132,69,149,1,60
Cœur de Bœuf,18.6,19.4,86,124,96,138,0,86
Cerise,23.8,20.3,63,96,71,165,1,85
Cœur de Bœuf,26.8,22.1,52,116,78,143,0,76
Cerise,19.5,26.5,81,131,61,147,1,50
Cerise,24.0,27.0,76,122,74,162,1,50
Cœur de Bœuf,24.6,20.7,69,93,97,131,1,63
Noire de Crimée,22.2,24.6,50,115,67,166,1,77
Noire de Crimée,25.0,27.3,62,97,94,160,0,90
Noire de Crimée,22.1,23.2,85,109,97,151,1,50
Noire de Crimée,23.0,19.9,67,106,89,138,0,57
Noire de Crimée,18.1,23.1,68,94,68,149,1,94
Cœur de Bœuf,24.9,22.4,54,138,89,149,0,90
Cœur de Bœuf,24.6,24.2,84,98,78,130,0,96
Marmande,18.4,22.9,42,97,88,159,1,92
Noire de Crimée,21.7,19.2,48,96,61,148,0,75
Cœur de Bœuf,27.8,27.9,47,126,87,165,1,85
Marmande,22.2,23.9,86,125,67,143,0,78
Noire de Crimée,23.0,23.3,72,92,84,130,0,89
Cerise,27.1,27.6,73,97,69,134,0,94
Marmande,25.2,20.4,48,94,81,139,1,98
Cœur de Bœuf,23.8,20.7,56,94,94,138,0,53
Cerise,26.0,26.3,80,106,83,143,1,91
Cerise,26.6,21.3,40,136,85,168,0,51
Cerise,22.6,26.2,79,116,90,147,0,79
Marmande,22.8,21.4,44,129,82,154,0,96
Cœur de Bœuf,21.9,19.3,69,128,61,165,0,69
Cerise,27.7,23.7,50,138,98,160,0,79
Noire de Crimée,25.0,20.8,67,101,92,164,0,67
Cerise,18.8,25.8,77,117,83,156,0,79
Cerise,26.6,24.8,56,93,71,151,1,95
Marmande,22.8,27.3,89,117,96,140,1,84
Marmande,18.7,26.0,62,114,68,139,0,50
Cœur de Bœuf,23.5,20.6,57,139,62,137,0,52
Noire de Crimée,22.2,26.2,76,125,82,157,0,72
Marmande,26.8,24.8,66,131,83,152,0,94
Cerise,20.0,25.0,64,92,92,135,0,89
Cœur de Bœuf,26.3,26.5,44,120,89,143,0,71
Cerise,23.6,24.2,58,126,97,153,0,98
Cerise,18.5,23.2,66,101,61,138,1,97
Marmande,27.7,24.7,52,126,99,169,0,97
Cœur de Bœuf,23.1,21.7,46,126,81,167,0,93
Noire de Crimée,20.9,20.6,65,93,70,154,0,97
Noire de Crimée,22.7,24.5,53,119,71,167,0,64
Marmande,26.6,21.1,66,127,78,159,0,90
Marmande,21.0,19.7,47,131,79,151,0,65
Cœur de Bœuf,19.9,19.0,70,127,68,131,0,76
Noire de Crimée,19.3,24.5,74,116,77,154,0,81
Noire de Crimée,21.0,22.3,66,111,77,153,0,83
Noire de Crimée,25.8,25.8,43,90,99,166,0,91
Cerise,22.7,22.4,81,137,95,132,1,61
Noire de Crimée,20.3,23.4,43,132,86,155,0,67
Cerise,19.7,22.7,57,127,72,159,1,67
Cœur de Bœuf,21.3,24.9,62,109,67,158,0,53
Cerise,27.4,22.2,71,107,82,136,0,83
Cœur de Bœuf,21.4,27.7,51,95,72,138,0,88
Noire de Crimée,27.9,27.4,59,138,66,159,0,68
Noire de Crimée,22.9,26.6,86,101,99,145,1,92
Cœur de Bœuf,19.8,27.3,84,106,61,169,0,94
Marmande,26.9,23.0,51,111,62,143,0,80
Cœur de Bœuf,22.6,23.8,47,107,98,155,1,98
Marmande,25.1,25.7,61,99,82,166,0,80
Cerise,27.8,25.3,66,113,66,139,0,91
Cerise,18.5,27.0,80,109,63,159,1,97
Cerise,19.0,25.4,80,101,67,151,0,69
Noire de Crimée,25.2,28.0,56,93,91,159,1,97
Cerise,20.8,22.1,71,131,78,161,0,69
Marmande,19.8,26.5,72,94,71,143,0,81
Cerise,18.4,25.3,70,115,69,152,1,69
Cœur de Bœuf,18.2,25.2,45,125,73,146,1,65
Cœur de Bœuf,25.7,21.9,78,105,86,165,1,68
Noire de Crimée,19.3,26.1,48,94,80,158,0,80
Cœur de Bœuf,22.7,27.1,81,115,79,153,0,62
Marmande,24.1,21.0,71,108,63,140,1,69
Cerise,22.3,24.6,75,95,78,144,0,92
Noire de Crimée,18.3,22.5,55,113,88,151,1,61
Cerise,25.8,27.9,51,120,66,156,1,98
Cerise,18.1,23.3,80,120,92,163,1,96
Marmande,25.6,21.1,42,96,67,162,0,75
Cœur de Bœuf,26.9,22.4,66,99,70,150,0,84
Cœur de Bœuf,22.3,24.9,66,128,92,153,1,90
Cerise,23.4,19.7,48,111,84,149,1,59
Noire de Crimée,22.8,24.4,56,103,92,133,1,61
Cœur de Bœuf,21.9,27.4,85,117,95,166,1,73
Noire de Crimée,26.9,26.7,44,131,85,166,0,58
Cœur de Bœuf,26.9,19.6,65,111,95,162,0,54
Noire de Crimée,21.4,27.9,60,121,70,160,1,80
Marmande,24.2,25.3,40,100,89,163,0,83
Noire de Crimée,27.3,20.5,40,103,92,151,0,94
Marmande,27.6,19.1,74,120,69,159,1,60
Marmande,23.1,20.5,48,133,88,134,1,58
Noire de Crimée,22.5,26.5,62,93,84,152,0,71
Marmande,20.8,19.2,77,134,91,142,0,89
Cerise,27.6,21.1,80,111,63,138,1,96
Marmande,19.4,25.8,43,118,98,143,1,77
Cœur de Bœuf,23.8,24.3,58,124,93,146,0,65
Noire de Crimée,20.8,26.0,76,102,81,164,1,59
Cerise,20.8,25.7,44,109,72,147,0,83
Noire de Crimée,22.0,19.5,67,108,95,141,0,64
Cœur de Bœuf,28.0,27.0,85,104,65,145,1,67
Cœur de Bœuf,18.5,21.0,81,115,76,159,0,94
Cœur de Bœuf,23.8,24.0,87,109,85,142,0,80
Marmande,18.8,24.8,62,125,83,147,0,54
Marmande,19.5,20.5,77,95,68,141,0,82
Noire de Crimée,22.4,27.8,62,104,61,163,0,78
Noire de Crimée,23.1,23.4,85,93,79,162,0,52
Cerise,20.6,19.5,57,95,86,135,1,72
Cerise,21.2,27.4,68,91,65,147,0,59
Noire de Crimée,18.9,24.3,67,125,86,132,1,96
Marmande,21.0,25.3,48,139,83,135,0,81
Cœur de Bœuf,27.7,23.7,78,104,74,165,0,97
Noire de Crimée,27.4,26.5,89,101,92,151,1,76
Cerise,21.3,19.3,49,129,69,136,0,85
Marmande,23.7,21.4,41,133,80,159,0,73
Noire de Crimée,27.1,23.2,52,130,65,131,1,69
Noire de Crimée,18.1,19.7,77,96,89,161,1,52
Marmande,26.1,25.4,66,111,82,144,0,54
Noire de Crimée,27.5,22.5,80,97,95,151,0,52
Marmande,18.9,21.5,59,131,62,167,1,89
Cœur de Bœuf,19.6,19.0,79,100,85,137,0,55
Marmande,27.6,25.5,49,91,93,137,0,64
Marmande,23.4,26.5,55,119,89,168,0,55
Marmande,18.1,22.6,54,93,77,165,0,72
Noire de Crimée,20.6,24.1,52,114,76,149,1,79
Noire de Crimée,22.5,21.0,89,110,80,166,0,88
Marmande,24.9,24.6,77,114,83,137,0,89
Noire de Crimée,25.3,19.1,59,98,63,143,0,97
Cerise,28.0,23.4,63,97,84,149,0,70
Cerise,20.9,24.8,80,94,83,164,0,94
Noire de Crimée,23.4,27.3,89,135,86,154,1,86
Noire de Crimée,23.3,22.4,46,117,90,147,1,71
Marmande,22.1,25.9,62,91,94,150,1,51
Cœur de Bœuf,19.7,24.4,63,110,79,166,0,63
Noire de Crimée,27.8,27.3,68,138,75,160,0,67
Cerise,26.5,22.6,44,97,90,135,0,99
Marmande,23.0,21.9,82,123,66,149,1,99
Noire de Crimée,24.0,27.0,84,112,77,157,0,64
Cerise,20.3,19.4,74,104,67,165,1,86
Cerise,23.4,20.2,40,116,86,169,1,51
Cœur de Bœuf,24.9,19.7,75,91,73,155,1,92
Marmande,23.2,26.6,57,117,77,142,0,69
Marmande,27.9,19.1,45,100,60,133,0,59
Cœur de Bœuf,24.1,26.8,62,135,90,163,1,54
Cœur de Bœuf,21.7,23.1,49,110,79,166,0,81
Marmande,25.7,19.0,46,131,65,163,1,51
Marmande,19.7,22.6,83,121,60,145,1,93
Noire de Crimée,21.8,20.7,47,121,78,152,0,98
Noire de Crimée,21.5,24.6,52,96,98,152,0,54
Cœur de Bœuf,22.3,25.1,69,111,86,144,1,70
Noire de Crimée,25.8,23.4,57,103,75,154,1,67
Cerise,22.8,19.4,53,102,73,158,0,97
Noire de Crimée,25.9,24.9,50,110,93,165,1,89
Noire de Crimée,23.8,26.6,81,111,66,144,0,53
Cerise,21.4,25.5,77,123,79,166,0,81
Cœur de Bœuf,26.1,26.5,52,99,90,164,0,85
Cerise,20.4,20.8,81,90,81,168,0,53
Noire de Crimée,20.2,27.0,83,90,79,166,1,66
Cœur de Bœuf,23.0,21.9,72,113,74,157,1,91
Noire de Crimée,20.6,19.1,89,92,84,159,0,82
Cerise,18.1,26.6,52,120,60,136,1,71
Cerise,24.5,27.5,64,132,76,133,0,67
Noire de Crimée,23.1,24.9,63,130,75,136,0,76
Marmande,22.5,21.1,68,102,96,162,1,64
Marmande,27.7,21.3,75,93,80,147,0,74
Cerise,23.7,23.2,45,112,86,144,0,59
Cerise,26.6,27.1,57,95,94,164,1,65
Marmande,19.4,20.3,67,123,83,166,0,53
Marmande,23.7,26.4,44,130,61,134,0,80
Noire de Crimée,26.7,21.6,57,107,84,152,0,81
Noire de Crimée,23.8,26.3,76,125,78,139,1,73
Marmande,25.2,27.3,46,115,72,154,1,67
Noire de Crimée,21.7,22.8,48,122,88,151,0,81
Noire de Crimée,18.9,22.3,74,122,91,160,1,77
Cœur de Bœuf,22.6,26.2,51,114,65,152,1,60
Noire de Crimée,21.9,23.8,85,106,68,157,0,57
Cerise,26.7,25.2,79,92,60,144,0,50
Noire de Crimée,20.4,24.6,83,111,83,169,0,51
Noire de Crimée,27.7,20.4,78,138,69,136,0,70
Marmande,27.6,26.6,63,124,94,167,0,98
Cerise,20.5,20.8,48,93,65,169,0,68
Noire de Crimée,21.5,27.4,51,117,79,144,1,91
Noire de Crimée,27.0,21.3,75,102,97,134,0,79
Cœur de Bœuf,27.7,25.6,76,119,71,141,1,89
Noire de Crimée,22.4,21.6,48,136,62,142,0,74
Noire de Crimée,21.2,21.9,78,101,77,132,0,58
Cœur de Bœuf,23.3,21.8,85,92,80,148,1,91
Marmande,24.9,25.7,61,110,94,155,0,77
Noire de Crimée,20.7,24.0,56,129,96,159,1,86
Cœur de Bœuf,25.4,26.9,72,90,78,157,1,81
Cerise,18.5,21.8,86,107,84,144,1,90
Marmande,18.5,25.2,63,102,77,147,0,60
Cerise,21.9,25.8,54,96,99,136,1,99
Cerise,21.5,20.4,68,102,89,143,0,70
Cœur de Bœuf,21.2,22.6,71,106,93,153,1,73
Noire de Crimée,22.9,23.3,72,134,69,153,0,50
Cœur de Bœuf,21.2,22.2,68,121,81,140,0,65
Cœur de Bœuf,19.9,21.9,54,118,63,168,1,73
Cœur de Bœuf,21.1,25.2,66,134,62,169,0,59
Cœur de Bœuf,27.7,20.9,73,119,87,139,1,81
Marmande,22.1,25.4,43,100,81,162,0,77
Noire de Crimée,22.4,27.4,88,103,71,149,0,99
Cerise,23.8,24.1,87,99,72,168,0,82
Cerise,27.8,24.5,57,97,92,151,0,87
Noire de Crimée,20.4,19.6,60,120,78,164,0,71
Cerise,24.8,26.8,87,95,76,157,0,50
Noire de Crimée,25.2,21.6,47,108,93,165,0,84
Cerise,24.1,24.5,45,108,63,159,0,94
Cœur de Bœuf,18.9,27.8,59,101,98,135,0,61
Cerise,24.8,24.4,41,128,67,130,0,95
Noire de Crimée,18.6,25.5,84,139,92,133,1,74
Noire de Crimée,24.0,23.0,61,107,60,154,1,77
Noire de Crimée,25.4,19.5,60,92,64,168,1,66
Noire de Crimée,20.1,26.2,45,98,91,140,0,65
Noire de Crimée,26.4,19.3,71,95,99,167,0,81
Marmande,18.3,25.3,45,90,60,166,0,94
Marmande,26.4,19.2,52,131,94,141,1,53
Cerise,22.6,26.8,40,129,81,158,0,96
Noire de Crimée,20.2,20.4,61,118,88,163,0,90
Cerise,19.3,23.6,63,138,76,147,1,98
Noire de Crimée,27.5,24.4,80,124,89,138,1,60
Noire de Crimée,18.7,23.1,69,124,94,141,1,69
Marmande,20.0,22.1,61,119,60,138,0,75
Marmande,21.5,23.2,83,124,63,130,0,56
Cœur de Bœuf,24.2,21.8,51,128,68,136,0,80
Marmande,23.4,22.9,65,111,91,168,0,56
Cœur de Bœuf,19.3,22.2,43,132,64,163,0,53
Cœur de Bœuf,20.9,24.1,58,117,73,161,0,57
Cœur de Bœuf,20.4,21.1,55,107,85,157,0,63
Cœur de Bœuf,20.1,27.9,51,121,82,155,1,71
Cœur de Bœuf,22.1,23.5,72,94,81,165,0,72
Cerise,25.0,20.7,60,123,86,169,1,74
Marmande,20.2,23.3,75,120,84,143,1,85
Cœur de Bœuf,21.7,26.8,48,135,95,160,1,98
Noire de Crimée,21.9,19.2,78,122,63,145,0,75
Marmande,27.8,25.1,81,93,91,168,0,73
Marmande,27.5,23.9,84,103,68,140,0,67
Cœur de Bœuf,26.0,20.5,47,104,61,140,0,70
Cerise,20.4,26.4,59,109,98,167,0,96
Cœur de Bœuf,18.7,22.3,49,109,84,141,0,54
Cerise,21.2,21.6,71,138,69,138,1,64
Noire de Crimée,20.7,26.5,67,124,96,151,0,80
Marmande,23.1,24.7,49,93,84,167,1,75
Noire de Crimée,25.8,27.1,47,107,99,138,1,53
Cerise,26.6,24.7,86,113,88,132,1,53
Cerise,26.4,25.7,72,116,96,168,0,93
Noire de Crimée,21.6,26.5,86,122,64,164,0,99
Cerise,24.9,19.5,88,114,73,159,0,68
Noire de Crimée,21.1,26.0,52,94,92,155,0,75
Marmande,18.6,24.5,83,107,86,137,0,99
Noire de Crimée,25.0,19.6,74,134,64,161,1,82
Marmande,18.1,23.6,68,135,74,151,1,53
Noire de Crimée,22.1,19.7,44,109,62,137,0,96
Cerise,21.3,25.6,42,124,60,131,1,87
Noire de Crimée,24.9,23.9,76,95,83,143,0,73
Cerise,25.7,27.6,80,116,71,134,0,80
Noire de Crimée,21.0,20.6,45,117,73,142,1,83
Noire de Crimée,26.1,24.5,87,100,79,152,0,83
Cœur de Bœuf,20.9,20.9,81,98,73,142,1,51
Cerise,22.5,24.5,55,117,73,148,1,92
Cœur de Bœuf,25.3,25.5,74,108,94,153,0,57
Cerise,24.9,25.5,57,128,78,164,1,98
Cœur de Bœuf,27.9,26.3,50,110,79,143,0,70
Marmande,20.3,26.7,62,120,82,133,0,61
Noire de Crimée,24.6,19.7,86,131,93,155,0,85
Cerise,24.1,22.1,50,96,60,139,1,50
Cerise,27.2,25.2,68,126,63,167,1,91
Noire de Crimée,19.6,23.5,81,114,99,167,1,88
Cerise,25.5,20.7,66,117,76,163,0,65
Cerise,23.7,24.0,48,125,85,163,0,98
Cœur de Bœuf,20.7,22.7,74,106,73,148,0,55
Cerise,22.7,22.5,48,115,91,132,0,82
Marmande,21.3,26.3,57,117,95,165,0,92
Marmande,23.8,22.7,83,126,79,133,0,62
Noire de Crimée,26.9,19.2,60,106,75,155,0,94
Cerise,23.7,19.5,87,138,78,140,0,58
Noire de Crimée,24.3,26.7,75,106,98,132,0,84
Marmande,23.2,27.6,40,122,83,138,0,77
Cerise,18.5,25.2,66,123,73,131,1,83
Cerise,20.3,22.3,84,112,88,143,1,81
Noire de Crimée,22.9,27.4,79,119,73,132,1,50
Marmande,21.1,25.0,77,116,70,131,1,88
