Soil_Type,PH_Level,Organic_Matter,Nitrogen_N,Phosphorus_P,Potassium_K,Moisture_Content,Compaction_Index,Conductivity,Soil_Quality_Score
Black,6.3,1.7,101,9,257,31,1,0.5,70
Sandy,5.0,7.5,145,55,280,38,1,4.5,25
Loamy,6.5,2.0,179,42,292,70,1,3.4,62
Clayey,4.6,2.6,178,7,299,70,2,1.2,32
Black,8.1,4.9,196,17,169,36,2,3.7,35
Sandy,5.5,6.3,177,91,171,56,5,3.6,11
Loamy,7.2,5.3,159,7,80,23,2,3.9,34
Clayey,5.7,2.6,161,59,155,16,5,4.5,0
Black,6.6,1.0,47,70,31,24,5,0.8,11
Sandy,6.7,6.3,139,88,33,55,1,4.8,15
Loamy,5.2,7.9,134,77,49,37,1,5.0,38
Clayey,8.4,6.7,50,116,239,52,2,0.2,30
Black,7.6,4.2,28,66,257,19,2,0.5,33
Sandy,8.3,7.3,114,29,46,60,5,2.2,10
Loamy,8.1,3.9,139,56,276,12,3,0.3,41
Clayey,6.9,4.7,101,54,161,85,1,3.7,25
Black,8.2,4.3,105,126,269,86,4,3.3,22
Sandy,4.9,4.1,71,133,93,53,3,3.9,0
Loamy,5.3,6.4,25,43,218,63,1,5.0,33
Clayey,4.7,4.7,103,56,33,43,1,4.7,11
Black,5.8,3.2,159,80,119,74,2,1.6,52
Sandy,6.1,2.8,151,44,110,34,4,2.0,31
Loamy,5.6,1.3,125,64,210,72,4,3.9,19
Clayey,7.8,5.1,65,114,125,79,1,2.0,20
Black,5.9,2.6,74,88,26,54,5,3.5,23
Sandy,5.6,2.0,182,24,100,77,4,4.6,0
Loamy,6.7,5.6,63,89,272,35,3,2.1,56
Clayey,5.1,5.8,95,6,159,35,5,2.8,19
Black,7.7,6.3,183,110,26,35,2,4.2,26
Sandy,4.8,4.5,170,13,171,87,1,2.4,23
Loamy,8.4,7.3,59,62,145,71,1,1.5,39
Clayey,7.6,7.6,114,47,93,70,3,1.4,28
Black,5.3,6.7,31,142,64,11,3,0.5,32
Sandy,4.5,5.4,49,113,36,50,2,1.7,18
Loamy,7.8,3.1,48,52,252,54,2,3.5,29
Clayey,7.3,7.9,114,130,183,23,4,0.4,27
Black,7.4,2.9,178,149,82,46,5,1.4,36
Sandy,7.6,2.4,77,132,112,11,1,0.6,8
Loamy,4.8,4.1,16,137,111,14,4,2.1,19
Clayey,5.9,1.4,94,111,61,11,2,0.6,27
Black,5.0,7.8,141,75,260,10,3,3.8,32
Sandy,8.0,5.1,85,136,274,57,4,4.6,0
Loamy,7.0,4.9,100,105,90,31,3,1.0,53
Clayey,5.8,5.6,196,87,235,50,5,1.3,45
Black,4.8,4.5,93,32,75,34,3,0.9,38
Sandy,5.7,1.2,163,110,98,55,1,1.0,31
Loamy,5.8,5.3,40,42,140,18,5,1.6,37
Clayey,7.4,6.0,108,70,221,70,3,1.5,45
Black,7.1,3.9,61,51,276,56,4,2.0,43
Sandy,8.0,6.3,121,110,149,83,1,2.7,16
Loamy,6.4,2.6,81,107,61,88,1,3.7,37
Clayey,5.0,2.5,30,29,93,12,2,4.4,0
Black,7.4,2.1,25,70,253,17,2,2.4,30
Sandy,7.5,3.6,188,83,28,34,4,4.6,0
Loamy,6.7,6.9,25,71,50,45,2,3.4,37
Clayey,7.6,6.8,155,44,115,52,3,3.7,11
Black,6.5,3.7,184,104,277,59,2,2.7,64
Sandy,6.6,5.1,65,119,299,72,1,2.7,25
Loamy,6.2,6.0,165,123,248,43,4,2.7,63
Clayey,4.6,2.7,91,149,264,82,3,2.5,8
Black,4.9,2.2,87,66,217,19,1,2.3,32
Sandy,4.6,7.8,193,80,251,36,1,3.9,21
Loamy,7.0,5.3,46,35,70,22,5,2.0,28
Clayey,5.8,7.9,153,37,236,60,2,1.1,60
Black,6.5,3.4,69,47,193,77,3,0.8,44
Sandy,8.1,5.9,198,97,94,25,4,4.4,0
Loamy,5.5,2.6,20,42,118,21,4,4.3,0
Clayey,6.1,2.8,135,45,20,34,4,1.3,36
Black,7.5,4.6,75,122,143,58,5,0.7,36
Sandy,5.4,3.2,135,26,136,25,3,4.8,0
Loamy,4.8,2.2,41,100,214,11,1,2.5,31
Clayey,5.7,2.8,156,131,252,82,5,0.6,18
Black,5.1,1.3,65,65,148,86,2,1.2,28
Sandy,8.2,5.9,14,78,82,87,1,3.5,0
Loamy,7.7,4.4,140,36,255,85,4,0.5,40
Clayey,7.0,1.7,165,136,249,44,2,2.2,38
Black,8.0,2.2,99,49,209,31,3,2.2,34
Sandy,7.7,1.7,103,76,208,57,3,3.5,5
Loamy,5.2,5.3,81,24,187,73,5,1.1,36
Clayey,8.1,1.7,109,69,114,76,3,4.9,0
Black,6.7,6.3,38,93,176,31,4,0.9,41
Sandy,7.7,1.1,68,27,158,82,5,3.0,0
Loamy,8.1,2.7,34,44,210,56,5,1.7,27
Clayey,5.8,7.2,159,134,75,49,4,0.8,43
Black,4.9,6.0,106,82,26,62,3,2.7,36
Sandy,5.4,1.5,110,48,70,12,2,0.9,17
Loamy,6.2,6.7,126,117,58,15,5,3.4,34
Clayey,7.8,4.5,32,87,91,23,2,0.3,12
Black,7.9,6.9,79,121,275,67,2,2.6,42
Sandy,4.5,5.2,88,9,110,16,2,1.2,12
Loamy,6.5,5.8,88,125,168,38,2,4.8,43
Clayey,6.2,8.0,177,74,49,12,4,3.6,17
Black,5.4,2.6,107,39,142,22,1,3.8,27
Sandy,5.0,5.4,23,20,256,45,3,3.6,12
Loamy,5.9,4.2,38,18,299,47,1,3.4,60
Clayey,8.3,1.3,153,29,144,84,1,0.8,16
Black,5.8,1.1,96,83,153,69,5,5.0,10
Sandy,6.6,1.8,19,105,25,82,1,3.3,0
Loamy,7.3,5.5,56,109,216,31,1,4.5,41
Clayey,6.0,5.0,13,24,209,30,4,2.6,31
Black,8.4,4.9,21,60,255,42,2,1.5,43
Sandy,8.3,1.2,51,134,98,13,1,2.2,0
Loamy,5.5,4.3,13,27,54,89,1,2.1,44
Clayey,6.5,7.5,93,36,91,53,5,0.2,33
Black,5.7,3.8,101,145,62,10,3,3.4,25
Sandy,5.6,5.4,101,17,152,71,5,3.7,0
Loamy,4.6,6.5,15,149,125,88,3,0.3,25
Clayey,6.9,6.5,151,31,178,31,3,1.3,42
Black,6.5,4.6,44,149,27,68,3,3.4,39
Sandy,4.7,7.0,184,18,281,46,4,1.7,25
Loamy,5.6,3.7,195,146,99,32,4,4.7,22
Clayey,8.1,7.2,74,144,63,42,2,0.7,26
Black,5.5,2.7,156,73,196,31,3,4.6,24
Sandy,5.1,3.0,66,72,83,73,4,4.6,0
Loamy,6.5,1.4,22,59,132,71,4,4.8,2
Clayey,8.4,6.6,145,33,227,63,1,0.5,45
Black,5.5,3.9,27,93,245,67,3,1.4,44
Sandy,7.2,2.6,172,49,297,21,5,1.3,12
Loamy,7.5,2.6,96,136,299,27,1,4.4,28
Clayey,5.5,7.3,123,148,22,76,4,4.1,2
Black,7.4,6.8,35,70,52,69,4,0.9,37
Sandy,6.0,4.9,175,27,233,10,4,0.8,35
Loamy,7.0,5.3,75,72,49,29,4,2.4,32
Clayey,7.0,4.3,35,149,44,26,5,0.9,7
Black,6.6,3.7,135,10,47,58,2,2.4,50
Sandy,4.9,7.4,66,86,116,31,2,4.2,0
Loamy,7.8,1.9,34,127,106,42,3,2.5,22
Clayey,5.8,3.9,39,109,45,35,4,3.6,12
Black,5.2,3.4,144,38,139,36,3,1.3,48
Sandy,4.7,4.5,36,58,220,69,5,1.4,9
Loamy,6.9,4.2,148,86,34,43,3,3.0,48
Clayey,7.2,4.6,110,98,273,89,2,4.3,17
Black,4.6,2.0,145,69,130,87,2,2.7,22
Sandy,6.5,4.6,20,91,27,61,2,1.1,35
Loamy,5.4,2.7,135,33,147,64,3,1.2,51
Clayey,7.1,2.3,39,45,205,70,4,3.1,9
Black,5.2,1.5,103,109,33,59,1,0.6,52
Sandy,7.3,6.3,125,67,249,72,2,0.4,35
Loamy,6.0,4.0,24,70,110,73,3,0.6,43
Clayey,8.2,5.4,193,116,23,23,1,2.0,28
Black,5.1,6.1,44,104,171,60,2,1.8,52
Sandy,5.9,5.8,48,149,238,36,2,0.1,45
Loamy,5.0,4.3,33,70,95,49,5,0.9,37
Clayey,8.2,3.7,17,72,235,77,2,1.8,13
Black,8.0,3.6,52,38,178,18,1,2.2,31
Sandy,5.5,5.5,179,5,270,65,1,2.1,49
Loamy,7.1,4.5,93,138,86,48,4,1.7,48
Clayey,7.8,6.9,178,20,241,24,1,4.1,14
Black,6.7,7.1,56,6,211,27,3,2.1,40
Sandy,6.6,2.2,35,120,238,61,3,3.3,7
Loamy,5.5,2.0,189,80,36,70,2,4.2,32
Clayey,4.9,5.4,159,31,126,46,4,4.3,0
Black,8.1,3.1,142,23,246,89,2,4.3,16
Sandy,8.1,1.1,152,32,100,62,4,2.5,1
Loamy,7.0,7.2,173,39,286,21,5,3.3,32
Clayey,5.9,2.6,110,119,185,34,4,1.6,39
Black,5.9,7.5,72,72,253,88,5,4.3,20
Sandy,7.4,6.0,102,53,181,34,5,1.1,27
Loamy,8.1,6.3,186,11,194,30,2,4.0,37
Clayey,8.0,2.4,64,41,179,16,3,2.4,2
Black,7.6,2.6,81,119,204,85,4,1.6,21
Sandy,7.1,4.6,69,119,193,58,2,2.0,34
Loamy,4.8,2.2,194,45,257,48,5,3.0,26
Clayey,5.1,3.1,38,85,182,84,5,4.7,0
Black,8.1,3.3,28,66,257,58,1,0.6,42
Sandy,6.9,2.1,82,146,125,43,1,4.6,2
Loamy,4.5,2.4,147,6,137,84,4,4.1,4
Clayey,4.9,6.5,110,92,251,25,3,3.0,15
Black,7.2,2.2,147,52,95,24,1,0.7,44
Sandy,4.5,1.2,66,59,24,49,5,4.1,0
Loamy,5.1,5.4,191,16,237,88,2,3.5,45
Clayey,6.7,7.8,193,5,255,16,3,2.5,30
Black,7.3,3.3,77,107,51,49,4,4.4,11
Sandy,7.1,1.8,96,38,196,75,2,3.4,3
Loamy,5.4,5.0,112,116,138,79,4,1.5,43
Clayey,7.3,7.3,192,50,209,31,2,0.3,50
Black,5.4,6.5,81,103,121,68,2,3.8,34
Sandy,5.8,5.4,138,61,98,14,3,1.4,33
Loamy,7.5,3.2,127,55,158,27,4,1.5,41
Clayey,7.1,4.8,149,26,245,20,1,2.3,42
Black,7.9,1.6,172,72,285,17,2,3.8,16
Sandy,7.1,5.8,125,140,243,29,2,4.6,9
Loamy,6.8,6.1,91,64,79,84,1,1.2,53
Clayey,4.9,7.8,170,69,283,68,3,4.4,10
Black,6.0,2.8,118,40,67,34,3,3.1,45
Sandy,5.6,1.1,162,33,100,67,3,4.3,0
Loamy,5.5,4.8,25,60,27,28,5,4.3,3
Clayey,8.4,5.9,145,86,268,11,5,2.0,15
Black,6.1,6.5,44,136,263,67,3,3.4,46
Sandy,8.1,2.4,183,48,184,75,3,4.7,0
Loamy,7.0,2.8,148,35,206,16,1,3.4,44
Clayey,7.7,4.6,198,85,268,60,5,2.3,22
Black,6.5,3.3,53,78,146,42,4,1.9,43
Sandy,6.8,7.0,148,128,107,84,3,0.8,23
Loamy,6.5,4.3,148,20,64,22,3,5.0,28
Clayey,5.3,6.6,159,72,265,19,3,3.3,22
Black,7.4,5.1,94,123,237,68,2,1.5,60
Sandy,5.6,6.4,91,73,34,47,5,0.5,18
Loamy,4.6,3.3,199,46,275,29,4,3.8,16
Clayey,7.1,6.8,185,114,196,23,2,4.3,14
Black,5.2,2.9,111,45,234,49,2,2.2,56
Sandy,8.3,4.8,72,54,44,16,4,4.8,0
Loamy,8.3,2.5,188,10,136,78,4,1.7,25
Clayey,8.2,4.3,182,79,99,15,4,3.8,0
Black,6.0,3.2,42,21,194,49,4,1.4,46
Sandy,4.6,2.9,69,109,251,62,4,1.7,10
Loamy,8.2,7.8,132,71,59,18,3,3.1,27
Clayey,6.2,2.1,11,148,190,74,4,0.3,15
Black,8.4,6.5,150,104,136,29,4,1.1,28
Sandy,8.4,7.9,66,94,203,15,5,1.0,2
Loamy,7.9,1.1,180,85,100,86,3,1.7,26
Clayey,5.7,5.9,54,119,90,48,2,3.9,15
Black,6.0,2.8,40,24,159,30,3,4.5,24
Sandy,7.9,1.3,147,84,212,46,1,0.2,28
Loamy,5.8,3.8,32,60,190,21,4,1.4,42
Clayey,5.2,7.5,38,57,120,79,2,0.2,22
Black,6.7,1.1,40,53,89,24,1,4.3,7
Sandy,8.2,5.1,27,8,193,30,2,1.1,20
Loamy,7.3,4.5,20,22,208,55,3,3.9,33
Clayey,6.8,7.1,112,40,234,80,1,0.3,45
Black,4.9,1.6,56,121,44,19,4,2.1,7
Sandy,7.0,5.8,12,39,108,75,4,1.9,5
Loamy,8.5,5.8,139,34,150,85,1,1.7,48
Clayey,5.1,5.7,191,122,215,48,3,2.9,36
Black,6.6,7.6,81,67,244,31,1,2.0,64
Sandy,8.0,6.8,168,86,168,51,3,2.1,26
Loamy,7.5,1.3,145,73,90,15,2,1.0,41
Clayey,7.3,4.3,180,129,148,61,3,2.1,37
Black,7.3,3.8,185,58,106,46,1,3.7,42
Sandy,5.9,3.2,139,91,37,15,1,1.7,37
Loamy,5.7,4.2,31,60,62,82,2,4.3,19
Clayey,7.7,3.7,133,83,95,38,1,0.9,34
Black,7.7,4.0,142,146,60,78,5,4.2,0
Sandy,8.0,7.9,144,124,299,60,1,3.1,29
Loamy,8.2,1.6,29,29,299,86,5,2.2,10
Clayey,6.5,7.5,86,113,278,36,1,0.3,59
Black,6.5,4.4,139,99,43,46,1,0.7,73
Sandy,7.7,5.4,41,57,128,55,2,2.1,17
Loamy,7.1,6.8,99,52,46,34,5,4.4,18
Clayey,7.3,3.5,12,74,145,46,2,4.8,0
Black,7.7,4.0,178,136,189,32,5,4.7,7
Sandy,8.1,3.9,51,87,66,35,5,1.4,0
Loamy,5.9,3.6,86,137,200,85,4,1.4,46
Clayey,6.0,7.5,182,86,92,61,5,3.7,21
Black,4.9,6.8,110,108,141,12,2,4.7,11
Sandy,6.8,1.8,154,79,205,82,2,0.8,25
Loamy,4.6,1.8,137,93,101,88,3,2.0,28
Clayey,6.4,4.0,56,68,49,81,1,4.2,14
Black,6.7,1.7,161,39,140,37,4,2.5,33
Sandy,5.6,5.3,132,16,125,89,1,4.2,11
Loamy,6.9,2.0,43,94,149,43,2,0.7,44
Clayey,4.6,4.7,187,59,224,74,4,3.9,1
Black,4.6,1.1,51,116,72,38,5,2.0,12
Sandy,7.8,3.2,42,73,298,13,2,3.5,0
Loamy,5.9,5.7,132,95,208,77,2,1.5,70
Clayey,5.0,4.4,36,42,234,71,2,3.5,14
Black,6.6,7.8,68,33,50,47,2,3.5,35
Sandy,7.6,7.1,156,16,277,76,4,2.2,13
Loamy,5.4,3.5,124,141,79,11,1,4.8,25
Clayey,7.0,1.3,140,86,97,85,1,0.1,26
Black,4.8,6.9,137,7,42,53,5,3.4,19
Sandy,4.7,7.4,129,91,204,88,2,4.6,0
Loamy,6.6,6.7,162,92,54,41,2,4.3,40
Clayey,6.7,1.9,122,57,20,12,1,2.9,19
Black,7.0,8.0,24,105,124,26,5,4.5,0
Sandy,7.4,2.8,92,8,195,21,3,0.6,15
Loamy,8.4,6.1,197,61,68,73,4,2.8,25
Clayey,6.6,7.4,92,32,187,72,1,4.9,7
Black,5.8,2.6,32,20,290,87,4,5.0,6
Sandy,7.7,7.4,20,17,177,81,1,3.4,0
Loamy,5.6,3.2,196,57,40,50,5,0.9,42
Clayey,6.3,7.8,125,52,124,11,2,0.7,43
Black,4.8,3.0,171,29,140,62,3,4.6,11
Sandy,4.6,7.7,112,70,211,43,4,4.4,0
Loamy,8.4,1.4,16,108,248,83,3,1.6,21
Clayey,7.8,6.0,115,7,200,49,2,4.7,10
Black,7.3,4.7,181,98,244,80,1,0.7,60
Sandy,6.1,4.3,123,15,253,74,5,1.5,30
Loamy,5.2,2.6,32,25,285,64,2,3.3,38
Clayey,5.1,5.9,111,131,237,83,3,0.9,35
Black,5.5,2.3,67,95,230,60,3,4.9,14
Sandy,6.7,4.9,29,99,118,14,3,1.2,11
Loamy,7.4,2.8,164,98,128,65,1,1.3,61
Clayey,7.1,7.7,126,133,272,30,3,2.4,41
Black,5.6,1.2,197,116,31,67,1,3.9,32
Sandy,8.3,2.4,145,38,137,82,3,0.7,5
Loamy,7.5,2.7,110,84,107,40,4,3.4,32
Clayey,6.7,3.9,11,87,228,55,4,0.6,23
Black,6.9,2.6,31,33,149,36,2,0.6,39
Sandy,6.2,4.4,79,135,202,79,2,0.3,38
Loamy,5.5,7.1,112,15,102,40,5,2.8,40
Clayey,5.9,6.0,113,140,273,50,3,2.2,53
Black,7.5,5.1,45,66,24,54,3,1.6,43
Sandy,4.6,1.6,117,107,43,45,1,2.7,15
Loamy,5.0,5.9,33,37,140,11,2,2.6,36
Clayey,4.7,2.2,149,140,114,71,4,2.4,0
Black,4.7,6.5,31,92,243,30,1,0.9,49
Sandy,7.9,2.8,92,21,258,43,4,4.5,0
Loamy,7.3,3.9,82,95,246,22,1,3.1,44
Clayey,6.4,3.5,133,47,161,28,2,0.7,42
Black,4.9,7.0,90,77,70,42,3,1.4,37
Sandy,6.5,1.9,160,9,164,58,3,3.8,19
Loamy,6.4,5.0,83,60,71,12,2,3.9,38
Clayey,5.2,2.0,39,61,31,47,4,3.7,0
Black,6.2,5.9,156,76,114,80,5,4.0,23
Sandy,6.1,7.3,35,83,148,24,5,3.0,2
Loamy,7.0,4.0,137,40,30,47,2,1.5,60
Clayey,7.0,4.4,20,138,291,34,1,1.9,42
Black,4.7,7.5,29,119,111,70,3,2.6,25
Sandy,6.0,4.6,127,75,28,59,4,1.3,38
Loamy,7.0,4.4,65,96,142,19,5,4.3,7
Clayey,6.5,5.0,182,139,283,59,3,3.8,37
Black,7.9,5.8,56,109,138,51,2,4.9,9
Sandy,7.1,1.7,98,69,209,80,3,2.1,14
Loamy,5.2,6.7,67,28,298,61,5,4.4,22
Clayey,4.8,4.0,19,49,75,55,4,3.9,0
Black,7.1,1.5,31,121,215,49,1,4.2,26
Sandy,4.6,6.5,80,34,42,67,1,3.5,11
Loamy,6.8,3.6,33,69,284,33,3,1.8,49
Clayey,8.3,1.7,105,89,264,78,1,1.3,25
Black,6.8,5.4,198,87,279,49,5,1.4,50
Sandy,6.1,7.2,16,118,250,29,4,2.9,13
Loamy,7.1,7.2,81,100,229,38,1,4.4,45
Clayey,6.3,7.7,136,91,181,46,1,2.3,59
Black,6.7,7.1,47,71,189,29,2,3.0,32
Sandy,8.3,1.0,158,35,246,27,1,3.7,1
Loamy,6.0,3.7,145,70,62,13,1,4.3,41
Clayey,8.3,6.7,130,58,214,20,5,3.3,2
Black,8.1,3.6,98,14,31,73,1,3.2,21
Sandy,5.3,5.2,37,87,291,61,2,4.9,4
Loamy,4.8,5.2,101,33,81,52,2,4.3,30
Clayey,4.9,3.6,63,36,36,23,2,3.7,0
Black,4.6,7.3,168,21,290,54,1,4.2,38
Sandy,4.9,4.5,125,119,45,37,3,5.0,0
Loamy,7.2,4.3,125,49,64,13,3,2.6,42
Clayey,4.8,8.0,129,53,164,25,5,3.6,0
Black,5.8,4.5,50,91,84,47,3,4.1,32
Sandy,7.9,2.2,46,79,87,72,5,2.3,0
Loamy,4.6,4.6,134,127,115,32,5,4.8,10
Clayey,7.8,6.7,175,128,79,86,2,2.0,23
Black,5.6,6.4,188,56,276,29,4,1.3,45
Sandy,5.0,6.5,85,145,38,78,5,3.4,0
Loamy,7.3,6.0,46,92,52,30,1,0.5,58
Clayey,7.0,2.8,110,88,110,51,2,0.7,36
Black,8.0,7.0,40,110,257,78,1,4.9,9
Sandy,7.4,7.3,199,96,43,23,1,1.5,33
Loamy,7.7,2.4,155,103,246,79,3,0.3,37
Clayey,5.6,1.9,99,25,284,14,1,2.4,26
Black,5.2,7.8,15,10,25,33,5,4.3,7
Sandy,7.5,7.1,146,57,77,38,1,1.7,43
Loamy,7.7,7.3,148,91,119,11,1,2.2,46
Clayey,8.5,7.2,104,90,141,15,3,0.9,18
Black,6.2,4.8,128,141,176,43,1,1.8,77
Sandy,6.0,5.5,119,100,220,85,5,4.8,2
Loamy,7.6,4.8,129,117,244,31,5,4.4,20
Clayey,5.9,1.4,139,75,286,13,1,3.7,27
Black,8.2,6.2,132,47,170,15,5,4.0,7
Sandy,7.9,4.5,38,38,276,76,5,3.4,0
Loamy,6.2,5.5,119,50,100,86,3,0.7,58
Clayey,7.5,4.5,130,36,119,72,2,0.7,33
Black,7.5,4.4,188,148,124,82,2,2.7,41
Sandy,4.9,2.2,78,5,271,77,4,3.0,0
Loamy,8.1,3.0,160,24,152,43,2,4.9,21
Clayey,6.5,2.1,16,76,118,81,1,2.3,23
Black,7.8,2.4,137,15,197,43,5,4.6,3
Sandy,5.8,7.8,65,111,284,66,2,5.0,17
Loamy,8.1,2.1,136,47,151,46,3,4.2,21
Clayey,6.1,2.9,86,14,218,15,4,2.1,26
Black,4.5,5.1,71,12,212,80,1,3.8,25
Sandy,8.1,5.3,83,23,227,54,2,2.8,21
Loamy,4.9,2.1,24,59,76,50,5,1.1,17
Clayey,5.8,6.6,62,7,281,14,3,0.7,37
Black,8.3,6.5,180,57,249,69,2,0.4,55
Sandy,8.3,2.7,129,48,161,76,5,1.7,0
Loamy,6.8,3.0,44,100,82,26,2,3.5,22
Clayey,7.0,7.6,23,52,137,74,1,4.6,0
Black,6.3,6.8,102,58,264,64,4,1.7,65
Sandy,5.7,5.9,131,148,155,18,5,2.7,9
Loamy,5.8,1.6,186,96,115,13,4,2.4,38
Clayey,7.2,3.9,27,148,244,51,4,0.6,24
Black,7.5,4.9,188,55,27,55,3,3.8,35
Sandy,7.7,2.3,138,22,33,83,5,2.6,0
Loamy,7.7,4.1,134,130,43,10,3,4.6,12
Clayey,4.9,5.2,36,10,211,26,4,4.2,0
Black,6.5,3.3,73,138,260,88,1,1.5,57
Sandy,4.7,6.5,69,82,44,16,1,1.6,15
Loamy,6.7,6.9,178,86,148,14,2,2.7,46
Clayey,6.3,3.3,158,84,106,61,2,0.7,47
Black,8.1,6.9,23,92,252,62,5,1.3,28
Sandy,5.9,1.7,125,17,75,12,1,4.1,12
Loamy,5.0,6.9,157,69,209,71,4,0.8,50
Clayey,5.1,2.1,101,68,47,41,1,2.8,31
Black,7.5,1.6,94,18,48,11,5,2.0,17
Sandy,7.0,5.5,96,149,298,89,2,1.1,30
Loamy,4.9,4.3,148,125,191,62,2,4.9,27
Clayey,4.8,7.4,129,81,57,21,3,4.1,0
Black,7.3,3.5,93,17,285,14,2,1.4,45
Sandy,4.8,3.0,33,77,46,13,4,3.9,0
Loamy,7.8,4.5,128,138,155,65,5,0.1,42
Clayey,7.3,4.2,98,10,255,89,2,1.5,35
Black,4.8,3.4,46,125,264,73,2,0.6,30
Sandy,4.8,5.9,95,98,104,54,4,2.2,10
Loamy,8.4,6.3,136,61,32,69,2,3.2,41
Clayey,6.0,7.0,161,57,77,29,4,0.9,33
Black,6.0,7.8,24,50,278,62,2,1.3,63
Sandy,7.8,2.9,21,82,119,82,4,2.0,0
Loamy,8.3,6.0,104,136,123,25,2,3.2,31
Clayey,8.4,3.8,40,38,280,39,5,1.6,10
Black,7.5,5.7,190,46,297,29,3,3.0,40
Sandy,6.0,4.3,103,82,85,61,3,1.8,43
Loamy,4.8,8.0,93,68,108,45,1,1.4,53
Clayey,7.6,6.1,81,149,107,31,3,4.3,0
Black,6.7,7.7,53,122,24,10,4,2.0,29
Sandy,6.2,6.8,39,34,163,30,4,4.6,5
Loamy,8.1,7.3,44,97,136,57,3,1.6,38
Clayey,4.9,6.7,30,11,290,81,4,2.8,0
Black,6.5,4.2,120,27,224,14,5,0.4,50
Sandy,4.5,2.8,72,40,94,49,4,3.4,0
Loamy,6.4,3.6,101,146,99,88,5,4.0,23
Clayey,4.7,1.1,154,120,37,54,5,4.9,0
Black,5.0,4.7,21,85,236,40,5,4.2,16
Sandy,5.0,4.5,155,29,121,24,2,1.6,28
Loamy,7.1,4.7,101,119,151,67,1,2.8,64
Clayey,7.5,7.8,69,98,77,62,4,3.0,15
Black,6.8,7.4,76,53,131,54,2,0.4,51
Sandy,8.3,2.1,124,31,104,76,1,0.5,14
Loamy,6.0,3.6,24,99,135,51,2,1.7,56
Clayey,5.6,4.0,25,18,181,33,4,3.7,5
Black,8.0,3.5,31,126,225,47,5,1.5,24
Sandy,5.4,6.6,127,52,87,60,2,4.4,13
Loamy,8.4,4.7,122,132,267,33,1,3.3,52
Clayey,4.5,5.0,104,89,76,86,1,2.4,24
Black,8.4,7.0,168,96,184,42,1,2.7,50
Sandy,4.7,6.6,10,19,185,28,2,1.7,8
Loamy,8.1,1.9,84,55,23,34,1,4.9,13
Clayey,6.6,6.0,15,58,125,79,3,1.0,15
Black,8.5,4.0,96,143,127,58,1,4.3,22
Sandy,4.8,3.1,146,112,189,26,1,3.4,7
Loamy,6.7,1.4,189,79,286,30,2,3.6,43
Clayey,8.4,4.4,71,32,286,52,4,4.2,1
Black,6.6,3.5,67,132,73,85,2,0.8,35
Sandy,7.0,2.8,117,74,185,86,2,3.5,10
Loamy,7.3,5.9,28,100,273,31,3,3.9,34
Clayey,6.3,6.4,118,144,295,72,4,4.9,10
Black,7.0,2.7,150,107,173,33,2,3.8,37
Sandy,6.8,1.3,132,91,147,42,3,4.8,0
